month,scheme_id,jaccard,l1_weight_change,new_positions,disappeared_positions
2023-10,dsp:TAX,1.0,0.05289999999999999,0,0
2023-10,dsp:TIGER,0.9836065573770492,0.06780000000000001,1,0
2023-10,dsp:TOP100,1.0,0.04410000000000001,0,0
2023-10,dsp:VALUE,0.875,0.1243,8,0
2023-10,hdfc:HDFCBKGFSF,0.9032258064516129,0.057100000000000005,2,1
2023-10,hdfc:HDFCBUSICY,0.9795918367346939,0.04746095300000001,1,0
2023-10,hdfc:HDFCCB,0.9852941176470589,0.03610000000000002,1,0
2023-10,hdfc:HDFCCS,0.9285714285714286,0.0995,1,1
2023-10,hdfc:HDFCDFNFND,0.95,0.1059,1,0
2023-10,hdfc:HDFCDIVYLD,1.0,0.046729019,0,0
2023-10,hdfc:HDFCEQ,0.9523809523809523,0.08679999999999999,1,1
2023-10,hdfc:HDFCGR,0.9403973509933775,0.03770000000000001,1,8
2023-10,hdfc:HDFCHOF117,0.9722222222222222,0.06929999999999999,1,0
2023-10,hdfc:HDFCLARGEF,0.9940828402366864,0.082,1,0
2023-10,hdfc:HDFCMNCFND,1.0,0.07779999999999998,0,0
2023-10,hdfc:HDFCMULCAP,0.9754601226993865,0.1092,4,0
2023-10,hdfc:HDFCNCCFND,0.9361702127659575,0.137800371,3,0
2023-10,hdfc:HDFCPM,0.9444444444444444,0.038200000000000005,2,0
2023-10,hdfc:HDFCSMALLF,0.987012987012987,0.07289999999999998,1,0
2023-10,hdfc:HDFCT2,0.96,0.0292,1,1
2023-10,hdfc:HDFCTECHFD,0.8421052631578947,0.09819999999999998,3,0
2023-10,hdfc:HDFCTRALFD,0.9705882352941176,0.0813,1,0
2023-10,hdfc:HDFCTS,0.9459459459459459,0.0981,1,1
2023-10,hdfc:HDINFG,0.9772727272727273,0.0835,1,0
2023-10,hdfc:MIDCAP,0.984375,0.08279999999999998,1,0
2023-10,hdfc:MY2005,0.9672131147540983,0.06520000000000001,2,0
2023-10,icici:BAF,0.9782608695652174,0.04058720300000001,2,0
2023-10,icici:BANFIN SERVICES,0.9642857142857143,0.088028959,0,1
2023-10,icici:BCYCLE,0.8955223880597015,0.06570309000000002,4,3
2023-10,icici:BHACON,0.8627450980392157,0.09721622700000002,4,3
2023-10,icici:BLUECHIP,0.9154929577464789,0.059893183999999995,4,2
2023-10,icici:COMFUND,0.9393939393939394,0.148498817,2,0
2023-10,icici:DISCO,0.9714285714285714,0.06445590700000003,2,0
2023-10,icici:DIVYLD,0.9107142857142857,0.11148897399999999,4,1
2023-10,icici:E&DF,0.9714285714285714,0.038067354000000005,2,0
2023-10,icici:ESGFUND,0.9302325581395349,0.063877795,1,2
2023-10,icici:EXPORTS,0.8292682926829268,0.14294215199999996,4,3
2023-10,icici:FLEXCAP,0.9833333333333333,0.04803504799999999,1,0
2023-10,icici:FMCG,1.0,0.06786248599999997,0,0
2023-10,icici:FOCUSED,0.9,0.125995884,2,1
2023-10,icici:HOUSING,0.8378378378378378,0.11122845,2,4
2023-10,icici:INDOPP,0.9272727272727272,0.15633834700000002,3,1
2023-10,icici:INFRA,0.9180327868852459,0.122034493,4,1
2023-10,icici:INNOVA,0.8356164383561644,0.292834312,8,4
2023-10,icici:LARGE & MIDCAP,0.8648648648648649,0.140384836,5,5
2023-10,icici:LTEF,0.9444444444444444,0.05761985000000001,3,0
2023-10,icici:MGFINDIA,0.8412698412698413,0.156922178,9,1
2023-10,icici:MIDCAP,0.8928571428571429,0.14067316100000002,2,7
2023-10,icici:MNCFUND,0.8888888888888888,0.090338688,2,3
2023-10,icici:MULTI,0.9538461538461539,0.06536950899999998,3,0
2023-10,icici:MULTICAP,0.8916666666666667,0.17593112000000002,5,8
2023-10,icici:PHARMA,0.9302325581395349,0.134249546,2,1
2023-10,icici:PSUEQU,0.8076923076923077,0.12091862099999999,2,3
2023-10,icici:QUANT,0.8292682926829268,0.145737186,2,5
2023-10,icici:SMALL,0.7816091954022989,0.259940226,17,2
2023-10,icici:TECH,0.9583333333333334,0.06561035099999998,0,2
2023-10,icici:TRANSPO,0.9032258064516129,0.09670092900000002,1,2
2023-10,kotak:BAL,0.967741935483871,0.03629999999999999,1,1
2023-10,kotak:BFS,0.9285714285714286,0.07440000000000001,1,1
2023-10,kotak:CON,0.9833333333333333,0.051500000000000004,0,1
2023-10,kotak:ELS,0.9166666666666666,0.06230000000000002,2,3
2023-10,kotak:EME,0.9753086419753086,0.05049999999999999,1,1
2023-10,kotak:ESG,1.0,0.05639999999999999,0,0
2023-10,kotak:K30,0.9661016949152542,0.04810000000000003,1,1
2023-10,kotak:KBA,0.9893617021276596,0.0308,0,1
2023-10,kotak:KBC,1.0,0.0539,0,0
2023-10,kotak:KFE,1.0,0.03370000000000001,0,0
2023-10,kotak:KIE,0.9166666666666666,0.11359999999999998,3,1
2023-10,kotak:KMI,0.9423076923076923,0.0686,2,1
2023-10,kotak:KOP,0.9565217391304348,0.0494,0,3
2023-10,kotak:KPF,0.9777777777777777,0.04230000000000001,0,1
2023-10,kotak:KQT,1.0,0.03919999999999999,0,0
2023-10,kotak:MAF,0.5423728813559322,0.4855,27,0
2023-10,kotak:MID,0.9873417721518988,0.04949999999999999,0,1
2023-10,kotak:MUC,0.9696969696969697,0.09380000000000001,0,2
2023-10,kotak:SEF,1.0,0.036000000000000004,0,0
2023-10,mirae:MABAF,0.88,0.11821826999999999,9,3
2023-10,mirae:MABFF,1.0,0.025317210000000007,0,0
2023-10,mirae:MAEBF,1.0,0.083480963,0,0
2023-10,mirae:MAFCF,0.9714285714285714,0.08483580299999999,1,1
2023-10,mirae:MAFF,0.875,0.08881369900000001,2,2
2023-10,mirae:MAHCF,1.0,0.052670452000000006,0,0
2023-10,mirae:MAIPF,0.9571428571428572,0.045627795000000006,1,2
2023-10,mirae:MAMCF,0.9852941176470589,0.09463751200000001,0,1
2023-10,mirae:MAMPF,0.9358974358974359,0.183052591,3,2
2023-10,mirae:MATSF,0.9436619718309859,0.08574264499999999,3,1
2023-10,mirae:MICCF,0.9487179487179487,0.127581337,1,1
2023-10,mirae:MIIOF,0.9833333333333333,0.08635985399999997,1,0
2023-10,nippon:BF,0.92,0.0656,2,0
2023-10,nippon:EA,0.9272727272727272,0.07619999999999999,1,3
2023-10,nippon:EO,0.9587628865979382,0.07719999999999999,4,0
