month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE204A01010,1,0.00555647,2.8062979797979797e-05,26.0996,,,0
2023-08,INE205B01023,2,0.01225,0.00012373737373737374,77.0084,,,0
2023-08,INE205C01021,3,0.011333333333333334,0.00017171717171717173,371.8247,,,0
2023-08,INE208A01029,44,0.011311347931818183,0.0025136328737373737,3429.09995773,,,0
2023-08,INE211B01039,37,0.015926812324324323,0.002976222505050505,4077.911793,,,0
2023-08,INE211R01019,2,0.012400000000000001,0.00012525252525252527,516.0717,,,0
2023-08,INE212H01026,30,0.014447316433333333,0.002188987338383838,4300.063157,,,0
2023-08,INE212I01016,5,0.0046134934,0.00011650235858585859,194.885,,,0
2023-08,INE213A01029,41,0.023745842097560976,0.004917068313131313,10470.3475,,,0
2023-08,INE214T01019,45,0.017087191355555555,0.0038834525808080804,5970.19073522,,,0
2023-08,INE216A01030,31,0.01818104648387097,0.00284652747979798,3453.86701995,,,0
2023-08,INE216P01012,12,0.008016666666666667,0.0004858585858585859,715.7039,,,0
2023-08,INE217B01036,33,0.014915927666666665,0.0024859879444444444,3667.152151955,,,0
2023-08,INE217L01019,1,0.0102,5.151515151515152e-05,11.7261,,,0
2023-08,INE220B01022,39,0.013969281256410256,0.002751525095959596,4102.9978,,,0
2023-08,INE220G01021,4,0.044697296,0.0009029756767676767,284.3998,,,0
2023-08,INE221B01012,3,0.006533333333333333,9.898989898989899e-05,150.3931,,,0
2023-08,INE221J01015,3,0.008966666666666666,0.00013585858585858586,490.0846,,,0
2023-08,INE224A01026,1,0.011190302,5.651667676767676e-05,7.9781,,,0
2023-08,INE225D01027,10,0.0063249767,0.00031944326767676767,500.446779,,,0
2023-08,INE226A01021,38,0.010264871815789474,0.001970025904040404,2985.30531132,,,0
2023-08,INE226H01026,4,0.0004093385,8.269464646464647e-06,18.4577,,,0
2023-08,INE227C01017,3,0.0022333333333333337,3.3838383838383844e-05,83.2376,,,0
2023-08,INE227W01023,12,0.006342647583333333,0.0003844028838383838,466.815424,,,0
2023-08,INE229C01021,5,0.0153341078,0.00038722494444444445,203.9658,,,0
2023-08,INE230A01023,7,0.012722539285714285,0.0004497867424242424,1363.0518,,,0
2023-08,INE233B01017,7,0.009098100857142856,0.0003216500303030303,405.943932,,,0
2023-08,INE235A01022,10,0.0110180193,0.0005564656212121212,846.8929,,,0
2023-08,INE237A01028,62,0.018555477967741936,0.005810301181818182,12803.860627975,,,0
